zone,year,fhv,fhvhv,green,yellow,medallion_trips,total_trips,aggregator_share,log_medallion_trips,log_aggregator_trips,borough
1,2019,23460.0,11851.0,22.0,2590.0,2612.0,37923.0,0.31250164807636527,7.867871490396322,9.380167531188448,EWR
1,2020,5745.0,3769.0,8.0,556.0,564.0,10078.0,0.3739829331216511,6.335054251498059,8.234564993267135,EWR
1,2021,2096.0,2414.0,9.0,711.0,720.0,5230.0,0.4615678776290631,6.579251212010101,7.789040401657477,EWR
1,2022,2872.0,24.0,19.0,2406.0,2425.0,5321.0,0.004510430370231159,7.793586803371584,3.1780538303479458,EWR
1,2023,11488.0,20.0,20.0,1112.0,1132.0,12640.0,0.0015822784810126582,7.0317412587631285,2.995732273553991,EWR
1,2024,9765.0,14.0,2.0,1247.0,1249.0,11028.0,0.0012694958287994198,7.130098510125578,2.6390573296152584,EWR
1,2025,8560.0,13.0,2.0,1344.0,1346.0,9919.0,0.001310615989515072,7.204892510204673,2.5649493574615367,EWR
2,2019,33.0,408.0,9.0,84.0,93.0,534.0,0.7640449438202247,4.532599493153256,6.0112671744041615,Queens
2,2020,53.0,373.0,1.0,24.0,25.0,451.0,0.8270509977827051,3.2188758248682006,5.921578419643816,Queens
2,2021,31.0,505.0,4.0,13.0,17.0,553.0,0.9132007233273056,2.833213344056216,6.22455842927536,Queens
2,2022,41.0,510.0,2.0,29.0,31.0,582.0,0.8762886597938144,3.4339872044851463,6.234410725718371,Queens
2,2023,34.0,483.0,0.0,32.0,32.0,549.0,0.8797814207650273,3.4657359027997265,6.180016653652572,Queens
2,2024,14.0,529.0,0.0,57.0,57.0,600.0,0.8816666666666667,4.04305126783455,6.270988431858299,Queens
2,2025,12.0,673.0,0.0,60.0,60.0,745.0,0.9033557046979865,4.0943445622221,6.511745329644728,Queens
3,2019,42442.0,433224.0,6513.0,2124.0,8637.0,484303.0,0.8945309031742524,9.063810579280286,12.979010194236407,Bronx
3,2020,6052.0,359937.0,2241.0,1666.0,3907.0,369896.0,0.9730762160174752,8.27052509505507,12.793684295118005,Bronx
3,2021,6229.0,404207.0,1744.0,1599.0,3343.0,413779.0,0.9768668782127657,8.114623886420098,12.909682401961026,Bronx
3,2022,6055.0,426961.0,75.0,436.0,511.0,433527.0,0.9848544611984952,6.236369590203704,12.964447953144862,Bronx
3,2023,3742.0,487761.0,53.0,665.0,718.0,492221.0,0.9909390294197119,6.576469569048224,13.097580810768214,Bronx
3,2024,6119.0,522024.0,24.0,1536.0,1560.0,529703.0,0.9855031970745871,7.352441100243583,13.16546884281936,Bronx
3,2025,10053.0,554304.0,100.0,4276.0,4376.0,568733.0,0.9746295713454293,8.383890344101816,13.225468551690717,Bronx
4,2019,98992.0,982099.0,248.0,141579.0,141827.0,1222918.0,0.8030783748378877,11.862363283981464,13.797447396919097,Manhattan
4,2020,3057.0,517937.0,390.0,33852.0,34242.0,555236.0,0.9328231598815638,10.441208239764762,13.15760889222349,Manhattan
4,2021,5257.0,620333.0,252.0,36530.0,36782.0,662372.0,0.9365326432880617,10.512763874058926,13.33801170961062,Manhattan
4,2022,10002.0,733746.0,8.0,47632.0,47640.0,791388.0,0.9271634141533609,10.771428023469236,13.505918198661544,Manhattan
4,2023,9810.0,773862.0,0.0,43989.0,43989.0,827661.0,0.934998749488015,10.691694881645189,13.559148842101854,Manhattan
4,2024,7530.0,749059.0,12.0,66947.0,66959.0,823548.0,0.9095511129891639,11.111835770762712,13.526573031092624,Manhattan
4,2025,10145.0,675943.0,59.0,129233.0,129292.0,815380.0,0.8289913905173049,11.769828691229426,13.423864031943383,Manhattan
5,2019,8194.0,51947.0,69.0,371.0,440.0,60581.0,0.8574800680081214,6.0867747269123065,10.857979247025447,Staten Island
5,2020,3110.0,35618.0,44.0,106.0,150.0,38878.0,0.9161479499974279,5.0106352940962555,10.480606407035951,Staten Island
5,2021,2631.0,45840.0,172.0,109.0,281.0,48752.0,0.9402691171644241,5.638354669333745,10.732912351388622,Staten Island
5,2022,4806.0,56382.0,2.0,382.0,384.0,61572.0,0.9157084389007991,5.950642552587727,10.93990523761112,Staten Island
5,2023,7876.0,63094.0,0.0,291.0,291.0,71261.0,0.8853931322883485,5.673323267171493,11.052380956845,Staten Island
5,2024,8822.0,70799.0,0.0,2.0,2.0,79623.0,0.8891777501475704,0.6931471805599453,11.167600155288277,Staten Island
5,2025,8296.0,70967.0,0.0,10.0,10.0,79273.0,0.8952228375361094,2.302585092994046,11.169970259243295,Staten Island
6,2019,10393.0,94695.0,69.0,230.0,299.0,105387.0,0.8985453613823337,5.700443573390687,11.458416479469836,Staten Island
6,2020,8805.0,69654.0,39.0,134.0,173.0,78632.0,0.8858225658764879,5.153291594497779,11.15129540756609,Staten Island
6,2021,10037.0,90822.0,55.0,71.0,126.0,100985.0,0.8993612912808833,4.836281906951478,11.41665682599062,Staten Island
6,2022,12059.0,99147.0,2.0,158.0,160.0,111366.0,0.8902806960831852,5.075173815233827,11.504358876304103,Staten Island
6,2023,20831.0,117426.0,3.0,384.0,387.0,138644.0,0.84696056086091,5.958424693029782,11.673563626933024,Staten Island
6,2024,21093.0,132483.0,1.0,558.0,559.0,154135.0,0.8595257404223571,6.326149473155099,11.79420961429023,Staten Island
6,2025,22881.0,143908.0,4.0,1000.0,1004.0,167793.0,0.8576519878660016,6.911747300251674,11.876929485492774,Staten Island
7,2019,268017.0,2274745.0,246455.0,114398.0,360853.0,2903615.0,0.7834182562082094,12.796225952169616,14.637378516172781,Queens
7,2020,54428.0,1366835.0,45922.0,32570.0,78492.0,1499755.0,0.9113721907911626,11.270751987749213,14.128008406153242,Queens
7,2021,46309.0,1722621.0,21434.0,24753.0,46187.0,1815117.0,0.9490413014698226,10.740453652192178,14.359357526137162,Queens
7,2022,43158.0,2110355.0,23991.0,20766.0,44757.0,2198270.0,0.960007187470147,10.709003136050958,14.5623667377459,Queens
7,2023,47222.0,2256596.0,18257.0,17149.0,35406.0,2339224.0,0.9646771749947846,10.474636576285224,14.629368041106696,Queens
7,2024,45664.0,2300839.0,12197.0,25645.0,37842.0,2384345.0,0.9649773837259289,10.541174875891706,14.648784396991074,Queens
7,2025,44288.0,2334499.0,7151.0,77533.0,84684.0,2463471.0,0.9476462276194849,11.34668196078883,14.663307865035787,Queens
8,2019,1202.0,9005.0,86.0,1123.0,1209.0,11416.0,0.7888051857042747,7.097548850614793,9.105535257610056,Queens
8,2020,235.0,5425.0,26.0,258.0,284.0,5944.0,0.9126850605652759,5.648974238161206,8.59877317840866,Queens
8,2021,228.0,7220.0,53.0,220.0,273.0,7721.0,0.9351120321201917,5.60947179518496,8.884610231886873,Queens
8,2022,242.0,7463.0,18.0,260.0,278.0,7983.0,0.934861580859326,5.627621113690637,8.917712757131387,Queens
8,2023,229.0,8465.0,10.0,170.0,180.0,8874.0,0.9539102997520847,5.19295685089021,9.043695294567236,Queens
8,2024,201.0,9963.0,11.0,212.0,223.0,10387.0,0.9591797439106575,5.407171771460119,9.206633510044856,Queens
8,2025,150.0,10089.0,8.0,454.0,462.0,10701.0,0.9428090832632464,6.135564891081739,9.219201000408379,Queens
9,2019,25570.0,193901.0,3752.0,1479.0,5231.0,224702.0,0.8629251186015255,8.562357743370612,12.17510299851502,Queens
9,2020,8293.0,106157.0,1454.0,1059.0,2513.0,116963.0,0.9076118088626318,7.829232537543592,11.572674409375441,Queens
9,2021,10297.0,140002.0,730.0,1350.0,2080.0,152379.0,0.9187748968033653,7.640123172695364,11.849411987203688,Queens
9,2022,8431.0,171254.0,113.0,290.0,403.0,180088.0,0.9509462040780063,5.998936561946683,12.05090311351592,Queens
9,2023,7482.0,193358.0,100.0,502.0,602.0,201442.0,0.9598693420438638,6.400257445308821,12.172298671922961,Queens
9,2024,8150.0,207362.0,44.0,718.0,762.0,216274.0,0.9587930125673914,6.635946555686647,12.242221337161261,Queens
9,2025,8151.0,223715.0,60.0,1700.0,1760.0,233626.0,0.9575774956554494,7.473069088032197,12.318128199320496,Queens
10,2019,55129.0,629529.0,8523.0,31320.0,39843.0,724501.0,0.8689139145425611,10.59270201006836,13.352727199713607,Queens
10,2020,8266.0,510160.0,3495.0,8218.0,11713.0,530139.0,0.9623136573615599,9.368454615069874,13.142479680989153,Queens
10,2021,5820.0,636756.0,3145.0,9127.0,12272.0,654848.0,0.9723722146207975,9.415075523607037,13.36414181564772,Queens
10,2022,8227.0,680139.0,286.0,12282.0,12568.0,700934.0,0.9703324421414855,9.438909179935457,13.430052468027757,Queens
10,2023,6941.0,779751.0,183.0,10737.0,10920.0,797612.0,0.9776069066162495,9.298351249298896,13.566729916931555,Queens
10,2024,13194.0,775292.0,116.0,14000.0,14116.0,802602.0,0.9659731722572333,9.55506418479516,13.56099501156746,Queens
10,2025,19048.0,819740.0,215.0,21206.0,21421.0,860209.0,0.9529544564169871,9.972127028252816,13.616742495791378,Queens
11,2019,23988.0,230078.0,4091.0,1435.0,5526.0,259592.0,0.886306203581004,8.617219505483362,12.346173660848386,Brooklyn
11,2020,7072.0,164278.0,1277.0,812.0,2089.0,173439.0,0.9471802766390489,7.644440761556566,12.009315393659888,Brooklyn
11,2021,6363.0,189226.0,1195.0,854.0,2049.0,197638.0,0.9574373349254698,7.6251071482389,12.150697346877369,Brooklyn
11,2022,6684.0,223236.0,42.0,370.0,412.0,230332.0,0.9691922963374607,6.021023349349527,12.315984786805988,Brooklyn
11,2023,5427.0,248560.0,55.0,487.0,542.0,254529.0,0.9765488411929485,6.295266001439646,12.423439544066929,Brooklyn
11,2024,8008.0,257639.0,21.0,1157.0,1178.0,266825.0,0.9655729410662419,7.071573364211532,12.459314659268417,Brooklyn
11,2025,10779.0,280940.0,46.0,2994.0,3040.0,294759.0,0.9531176316923317,8.019612794400267,12.545896402384901,Brooklyn
12,2019,4255.0,38906.0,3.0,36631.0,36634.0,79795.0,0.48757440942414937,10.508732049920162,10.568903759357763,Manhattan
12,2020,69.0,12348.0,4.0,5781.0,5785.0,18202.0,0.6783869904406109,8.663023639627777,9.42124938562205,Manhattan
12,2021,114.0,20583.0,3.0,10156.0,10159.0,30856.0,0.6670663728286232,9.226115291091546,9.932220771359,Manhattan
12,2022,161.0,32314.0,0.0,16525.0,16525.0,49000.0,0.659469387755102,9.712629664719888,10.383255851836775,Manhattan
12,2023,319.0,36157.0,0.0,16617.0,16617.0,53093.0,0.6810125628613941,9.718181546701214,10.49562584646259,Manhattan
12,2024,185.0,27110.0,1.0,16394.0,16395.0,43690.0,0.62050812542916,9.704731689278749,10.20765794249271,Manhattan
12,2025,156.0,25136.0,0.0,15234.0,15234.0,40526.0,0.6202437941074865,9.631285050932734,10.132056360495403,Manhattan
13,2019,143410.0,1242723.0,77.0,733939.0,734016.0,2120149.0,0.5861488980255632,13.506286105724195,14.032815497710043,Manhattan
13,2020,9999.0,532608.0,80.0,153074.0,153154.0,695761.0,0.7655042464294491,11.939199230104634,13.185540972902558,Manhattan
13,2021,5922.0,774802.0,61.0,158893.0,158954.0,939678.0,0.8245398955812523,11.976370131168585,13.560362791822952,Manhattan
13,2022,13254.0,1032020.0,14.0,228002.0,228016.0,1273290.0,0.810514493948747,12.337171080912993,13.847028604680819,Manhattan
13,2023,15717.0,1069948.0,0.0,216633.0,216633.0,1302298.0,0.8215846142741523,12.285959956514885,13.88312060712632,Manhattan
13,2024,11908.0,1066746.0,21.0,245317.0,245338.0,1323992.0,0.8057042640741031,12.410392130601123,13.880123451336162,Manhattan
13,2025,12893.0,1050617.0,21.0,275473.0,275494.0,1339004.0,0.7846257367416378,12.526321128753557,13.864888168600856,Manhattan
14,2019,106083.0,1170625.0,19035.0,7358.0,26393.0,1303101.0,0.898337887853666,10.180854102460378,13.97304835218049,Brooklyn
14,2020,11449.0,770830.0,6167.0,3898.0,10065.0,792344.0,0.9728476520299264,9.216819338073892,13.555223135366933,Brooklyn
14,2021,9786.0,945777.0,4404.0,3883.0,8287.0,963850.0,0.9812491570265083,9.022443300849043,13.759762090858585,Brooklyn
14,2022,18615.0,1093941.0,368.0,1789.0,2157.0,1114713.0,0.9813656071114268,7.676473646389156,13.905297329979597,Brooklyn
14,2023,14462.0,1181731.0,140.0,2509.0,2649.0,1198842.0,0.9857270599461814,7.88193748927207,13.982490870675587,Brooklyn
14,2024,17484.0,1261484.0,69.0,6116.0,6185.0,1285153.0,0.9815827376195675,8.729882284826589,14.0477993636693,Brooklyn
14,2025,27896.0,1345187.0,216.0,17693.0,17909.0,1390992.0,0.9670702635241611,9.79305865876674,14.11204359481107,Brooklyn
15,2019,36223.0,142647.0,2067.0,1431.0,3498.0,182368.0,0.7821931479206878,8.159946655578548,11.868128325926286,Queens
15,2020,14449.0,81799.0,653.0,711.0,1364.0,97612.0,0.8380014752284555,7.218176838403408,11.312020297577238,Queens
15,2021,16808.0,109472.0,323.0,802.0,1125.0,127405.0,0.8592441426945567,7.025538314638521,11.60342408777733,Queens
15,2022,15354.0,132941.0,44.0,240.0,284.0,148579.0,0.8947495944918191,5.648974238161206,11.797660699757744,Queens
15,2023,13193.0,155468.0,26.0,323.0,349.0,169010.0,0.9198745636352879,5.855071922202427,11.954195201642865,Queens
15,2024,5100.0,167247.0,43.0,655.0,698.0,173045.0,0.9664942644976741,6.548219102762372,12.027227040609871,Queens
15,2025,3919.0,179941.0,83.0,1530.0,1613.0,185473.0,0.9701735562588625,7.385851078125209,12.100384298363693,Queens
16,2019,56840.0,459757.0,4553.0,2296.0,6849.0,523446.0,0.8783274683539467,8.831857935197906,13.038453368016782,Queens
16,2020,12486.0,247500.0,1457.0,1183.0,2640.0,262626.0,0.9424047885586347,7.878534196140362,12.419165860990882,Queens
16,2021,14277.0,316800.0,660.0,1580.0,2240.0,333317.0,0.9504465718820222,7.7142311448490855,12.666025938922408,Queens
16,2022,12939.0,399514.0,112.0,372.0,484.0,412937.0,0.9674938307780606,6.182084906716632,12.898004087379203,Queens
16,2023,11356.0,437322.0,70.0,490.0,560.0,449238.0,0.97347508447638,6.327936783729195,12.988425044848125,Queens
16,2024,9015.0,462296.0,61.0,1005.0,1066.0,472377.0,0.9786589948282833,6.97166860472579,13.043960657548661,Queens
16,2025,8012.0,505410.0,144.0,3052.0,3196.0,516618.0,0.9783050532501771,8.069655306886165,13.13312526004836,Queens
17,2019,187057.0,2061828.0,40225.0,15844.0,56069.0,2304954.0,0.8945202377140715,10.93433835410938,14.539103525918879,Brooklyn
17,2020,8435.0,1446141.0,11096.0,7790.0,18886.0,1473462.0,0.9814579541243683,9.846176185823014,14.184409187320464,Brooklyn
17,2021,8032.0,1618204.0,6631.0,7992.0,14623.0,1640859.0,0.9861932073383515,9.590350910611878,14.29682745023516,Brooklyn
17,2022,19052.0,1752647.0,2149.0,4315.0,6464.0,1778163.0,0.9856503593877501,8.774003600200931,14.37663777454432,Brooklyn
17,2023,25872.0,1897637.0,1103.0,4508.0,5611.0,1929120.0,0.9836801235796633,8.632484235750972,14.456119985909114,Brooklyn
17,2024,22528.0,1982854.0,680.0,12460.0,13140.0,2018522.0,0.9823296451562084,9.483416292038601,14.500047778971954,Brooklyn
17,2025,27859.0,1969351.0,529.0,39961.0,40490.0,2037700.0,0.966457771016342,10.608810309026207,14.493214604811993,Brooklyn
18,2019,100204.0,1019948.0,12145.0,3001.0,15146.0,1135298.0,0.8983967205086242,9.625491749673769,13.835262203568753,Bronx
18,2020,13607.0,891623.0,4595.0,3133.0,7728.0,912958.0,0.9766309074459066,8.952605375892354,13.700798676482352,Bronx
18,2021,10125.0,894016.0,3062.0,2743.0,5805.0,909946.0,0.9824934666452735,8.666474894131992,13.703478951087222,Bronx
18,2022,9753.0,919952.0,423.0,860.0,1283.0,930988.0,0.9881459266929327,7.1569563646156364,13.732076773751073,Bronx
18,2023,6284.0,1013747.0,256.0,1263.0,1519.0,1021550.0,0.9923616073613626,7.325807502595773,13.829163925097886,Bronx
18,2024,7535.0,1094159.0,119.0,2548.0,2667.0,1104361.0,0.9907620787043367,7.888709524182015,13.905496589611898,Bronx
18,2025,16634.0,1174861.0,208.0,9463.0,9671.0,1201166.0,0.9781004457335623,9.176886995716963,13.97666040069031,Bronx
19,2019,14505.0,146259.0,3251.0,1690.0,4941.0,165705.0,0.8826468724540599,8.50532301884575,11.893134301662228,Queens
