trip_date,yellow_trips,green_trips,fhvhv_trips,prcp_mm,snow_mm,snwd_mm,tmax_c,tmin_c,awnd_ms,wsf5_ms,taxi_trips,weekday,is_weekend,month,taxi_wd_mean,taxi_anom,fhvhv_wd_mean,fhvhv_anom
2024-01-01,81013,1189,638406,0.8,0.0,0.0,8.3,1.7,1.5,7.2,82202,0,False,1,98257.96226415095,-16055.962264150949,563058.9811320754,75347.01886792458
2024-01-02,75519,1668,478254,0.0,0.0,0.0,5.6,-1.6,1.8,7.2,77187,1,False,1,113216.16981132075,-36029.16981132075,589765.0188679246,-111511.01886792458
2024-01-03,82427,1790,498332,0.0,0.0,0.0,6.1,1.1,2.2,6.7,84217,2,False,1,119606.42307692308,-35389.42307692308,624117.75,-125785.75
2024-01-04,102901,2101,572632,0.0,0.0,0.0,7.2,-2.1,3.4,13.4,105002,3,False,1,125640.19230769231,-20638.192307692312,657690.5,-85058.5
2024-01-05,103178,2119,656654,0.0,0.0,0.0,2.8,-3.2,3.2,10.7,105297,4,False,1,119305.53846153847,-14008.538461538468,718960.8461538461,-62306.84615384613
2024-01-06,97117,1628,709028,10.4,5.0,0.0,3.3,-0.5,3.1,15.7,98745,5,True,1,121461.96153846153,-22716.96153846153,769462.0384615385,-60434.0384615385
2024-01-07,67543,1129,542767,6.1,0.0,0.0,3.3,1.1,3.4,10.7,68672,6,True,1,102865.36538461539,-34193.36538461539,659976.0961538461,-117209.09615384613
2024-01-08,80034,1952,519594,0.0,0.0,0.0,7.2,2.2,2.3,13.4,81986,0,False,1,98257.96226415095,-16271.962264150949,563058.9811320754,-43464.98113207542
2024-01-09,93962,2061,624357,43.9,0.0,0.0,13.9,2.2,2.9,19.2,96023,1,False,1,113216.16981132075,-17193.169811320753,589765.0188679246,34591.98113207542
2024-01-10,95000,2015,567258,5.6,0.0,0.0,13.9,6.7,3.8,16.1,97015,2,False,1,119606.42307692308,-22591.423076923078,624117.75,-56859.75
2024-01-11,105010,2095,608276,0.0,0.0,0.0,8.3,5.0,3.1,10.3,107105,3,False,1,125640.19230769231,-18535.192307692312,657690.5,-49414.5
2024-01-12,103655,2046,683589,2.0,0.0,0.0,10.0,4.4,3.1,14.3,105701,4,False,1,119305.53846153847,-13604.538461538468,718960.8461538461,-35371.84615384613
2024-01-13,104758,1699,752707,20.6,0.0,0.0,15.6,1.7,4.3,17.4,106457,5,True,1,121461.96153846153,-15004.961538461532,769462.0384615385,-16755.038461538497
2024-01-14,94420,1432,683813,0.0,0.0,0.0,6.7,-3.2,3.7,16.5,95852,6,True,1,102865.36538461539,-7013.36538461539,659976.0961538461,23836.903846153873
2024-01-15,77033,1332,559250,1.0,10.0,0.0,-1.6,-4.9,2.3,10.7,78365,0,False,1,98257.96226415095,-19892.96226415095,563058.9811320754,-3808.9811320754234
2024-01-16,93057,1877,616550,7.1,33.0,30.0,0.0,-5.5,4.1,16.1,94934,1,False,1,113216.16981132075,-18282.169811320753,589765.0188679246,26784.981132075423
2024-01-17,110365,2225,679757,0.0,0.0,30.0,-4.3,-8.2,3.7,12.5,112590,2,False,1,119606.42307692308,-7016.423076923078,624117.75,55639.25
2024-01-18,110358,2113,683942,0.0,0.0,30.0,1.1,-5.5,2.7,11.6,112471,3,False,1,125640.19230769231,-13169.192307692312,657690.5,26251.5
2024-01-19,95951,1980,738610,1.0,10.0,30.0,0.0,-3.2,3.3,16.5,97931,4,False,1,119305.53846153847,-21374.53846153847,718960.8461538461,19649.153846153873
2024-01-20,108768,1689,824655,0.0,0.0,30.0,-3.2,-7.7,4.8,16.1,110457,5,True,1,121461.96153846153,-11004.961538461532,769462.0384615385,55192.9615384615
2024-01-21,84502,1402,677837,0.0,0.0,30.0,-0.5,-6.6,4.1,15.7,85904,6,True,1,102865.36538461539,-16961.36538461539,659976.0961538461,17860.903846153873
