date,prcp_mm,snow_mm,snwd_mm,tmax_c,tmin_c,awnd_ms,wsf5_ms
2024-01-01,0.8,0.0,0.0,8.3,1.7,1.5,7.2
2024-01-02,0.0,0.0,0.0,5.6,-1.6,1.8,7.2
2024-01-03,0.0,0.0,0.0,6.1,1.1,2.2,6.7
2024-01-04,0.0,0.0,0.0,7.2,-2.1,3.4,13.4
2024-01-05,0.0,0.0,0.0,2.8,-3.2,3.2,10.7
2024-01-06,10.4,5.0,0.0,3.3,-0.5,3.1,15.7
2024-01-07,6.1,0.0,0.0,3.3,1.1,3.4,10.7
2024-01-08,0.0,0.0,0.0,7.2,2.2,2.3,13.4
2024-01-09,43.9,0.0,0.0,13.9,2.2,2.9,19.2
2024-01-10,5.6,0.0,0.0,13.9,6.7,3.8,16.1
2024-01-11,0.0,0.0,0.0,8.3,5.0,3.1,10.3
2024-01-12,2.0,0.0,0.0,10.0,4.4,3.1,14.3
2024-01-13,20.6,0.0,0.0,15.6,1.7,4.3,17.4
2024-01-14,0.0,0.0,0.0,6.7,-3.2,3.7,16.5
2024-01-15,1.0,10.0,0.0,-1.6,-4.9,2.3,10.7
2024-01-16,7.1,33.0,30.0,0.0,-5.5,4.1,16.1
2024-01-17,0.0,0.0,30.0,-4.3,-8.2,3.7,12.5
2024-01-18,0.0,0.0,30.0,1.1,-5.5,2.7,11.6
2024-01-19,1.0,10.0,30.0,0.0,-3.2,3.3,16.5
2024-01-20,0.0,0.0,30.0,-3.2,-7.7,4.8,16.1
2024-01-21,0.0,0.0,30.0,-0.5,-6.6,4.1,15.7
2024-01-22,0.0,0.0,30.0,3.3,-3.8,3.2,9.8
2024-01-23,1.3,0.0,30.0,4.4,1.1,2.2,12.5
2024-01-24,1.3,0.0,0.0,8.9,3.3,,16.5
2024-01-25,6.1,0.0,0.0,15.0,7.8,1.9,10.3
2024-01-26,4.8,0.0,0.0,7.8,5.6,2.5,13.4
2024-01-27,0.0,0.0,0.0,9.4,6.1,,16.5
2024-01-28,20.8,0.0,0.0,6.7,2.8,4.2,19.7
2024-01-29,1.3,0.0,0.0,4.4,2.2,3.4,15.7
2024-01-30,0.0,0.0,0.0,3.3,1.7,2.1,11.6
2024-01-31,0.0,0.0,0.0,4.4,1.1,1.6,8.9
2024-02-01,0.0,0.0,0.0,7.8,2.8,1.7,8.5
2024-02-02,8.1,0.0,0.0,7.8,3.3,2.6,11.2
2024-02-03,0.0,0.0,0.0,6.1,0.0,3.7,10.7
2024-02-04,0.0,0.0,0.0,7.8,-0.5,2.3,9.4
2024-02-05,0.0,0.0,0.0,7.2,0.0,3.3,15.7
2024-02-06,0.0,0.0,0.0,5.6,-1.6,3.0,10.3
