zone,year,fhv,fhvhv,green,yellow,total,non_green_total,aggregator_share,log_fhvhv,log_green,log_yellow,post_covid,borough,outer_borough,green_turf
1,2019,23460.0,11851.0,22.0,2590.0,37923.0,37901.0,0.31268304266378194,9.380167531188448,3.091042453358316,7.859413154693583,0,,0,0
1,2020,5745.0,3769.0,8.0,556.0,10078.0,10070.0,0.3742800397219464,8.234564993267135,2.0794415416798357,6.320768294250582,0,,0,0
1,2021,2096.0,2414.0,9.0,711.0,5230.0,5221.0,0.46236353189044244,7.789040401657477,2.1972245773362196,6.566672429803241,1,,0,0
1,2022,2872.0,24.0,19.0,2406.0,5321.0,5302.0,0.004526593738211996,3.1780538303479458,2.9444389791664403,7.785720896534624,1,,0,0
1,2023,11488.0,20.0,20.0,1112.0,12640.0,12620.0,0.001584786053882726,2.995732273553991,2.995732273553991,7.013915474810528,1,,0,0
1,2024,9765.0,14.0,2.0,1247.0,11028.0,11026.0,0.001269726101940867,2.6390573296152584,0.6931471805599453,7.1284959456800365,1,,0,0
1,2025,8560.0,13.0,2.0,1344.0,9919.0,9917.0,0.0013108803065443179,2.5649493574615367,0.6931471805599453,7.203405521083095,1,,0,0
2,2019,33.0,408.0,9.0,84.0,534.0,525.0,0.7771428571428571,6.0112671744041615,2.1972245773362196,4.430816798843313,0,Queens,1,1
2,2020,53.0,373.0,1.0,24.0,451.0,450.0,0.8288888888888889,5.921578419643816,0.0,3.1780538303479458,0,Queens,1,1
2,2021,31.0,505.0,4.0,13.0,553.0,549.0,0.9198542805100182,6.22455842927536,1.3862943611198906,2.5649493574615367,1,Queens,1,1
2,2022,41.0,510.0,2.0,29.0,582.0,580.0,0.8793103448275862,6.234410725718371,0.6931471805599453,3.367295829986474,1,Queens,1,1
2,2023,34.0,483.0,0.0,32.0,549.0,549.0,0.8797814207650273,6.180016653652572,0.0,3.4657359027997265,1,Queens,1,1
2,2024,14.0,529.0,0.0,57.0,600.0,600.0,0.8816666666666667,6.270988431858299,0.0,4.04305126783455,1,Queens,1,1
2,2025,12.0,673.0,0.0,60.0,745.0,745.0,0.9033557046979865,6.511745329644728,0.0,4.0943445622221,1,Queens,1,1
3,2019,42442.0,433224.0,6513.0,2124.0,484303.0,477790.0,0.9067247116934218,12.979010194236407,8.781555458546402,7.66105638236183,0,Bronx,1,1
3,2020,6052.0,359937.0,2241.0,1666.0,369896.0,367655.0,0.9790074934381418,12.793684295118005,7.714677473800927,7.418180822726788,0,Bronx,1,1
3,2021,6229.0,404207.0,1744.0,1599.0,413779.0,412035.0,0.9810016139405633,12.909682401961026,7.463936604468925,7.377133712833954,1,Bronx,1,1
3,2022,6055.0,426961.0,75.0,436.0,433527.0,433452.0,0.9850248701124923,12.964447953144862,4.31748811353631,6.077642243349034,1,Bronx,1,1
3,2023,3742.0,487761.0,53.0,665.0,492221.0,492168.0,0.9910457404788608,13.097580810768214,3.970291913552122,6.499787040655854,1,Bronx,1,1
3,2024,6119.0,522024.0,24.0,1536.0,529703.0,529679.0,0.9855478506793738,13.16546884281936,3.1780538303479458,7.336936913707618,1,Bronx,1,1
3,2025,10053.0,554304.0,100.0,4276.0,568733.0,568633.0,0.9748009700457061,13.225468551690717,4.605170185988092,8.360773272144936,1,Bronx,1,1
4,2019,98992.0,982099.0,248.0,141579.0,1222918.0,1222670.0,0.8032412670630669,13.797447396919097,5.5134287461649825,11.860613144158725,0,Manhattan,0,1
4,2020,3057.0,517937.0,390.0,33852.0,555236.0,554846.0,0.9334788391733922,13.15760889222349,5.966146739123692,10.429753360789997,0,Manhattan,0,1
4,2021,5257.0,620333.0,252.0,36530.0,662372.0,662120.0,0.9368890835498097,13.33801170961062,5.529429087511423,10.505889119789328,1,Manhattan,0,1
4,2022,10002.0,733746.0,8.0,47632.0,791388.0,791380.0,0.9271727867775279,13.505918198661544,2.0794415416798357,10.771260083255557,1,Manhattan,0,1
4,2023,9810.0,773862.0,0.0,43989.0,827661.0,827661.0,0.934998749488015,13.559148842101854,0.0,10.691694881645189,1,Manhattan,0,1
4,2024,7530.0,749059.0,12.0,66947.0,823548.0,823536.0,0.9095643663422122,13.526573031092624,2.4849066497880004,11.111656540555968,1,Manhattan,0,1
4,2025,10145.0,675943.0,59.0,129233.0,815380.0,815321.0,0.8290513797633079,13.423864031943383,4.07753744390572,11.769372255673682,1,Manhattan,0,1
5,2019,8194.0,51947.0,69.0,371.0,60581.0,60512.0,0.8584578265468006,10.857979247025447,4.23410650459726,5.916202062607435,0,Staten Island,1,1
5,2020,3110.0,35618.0,44.0,106.0,38878.0,38834.0,0.9171859710562908,10.480606407035951,3.784189633918261,4.663439094112067,0,Staten Island,1,1
5,2021,2631.0,45840.0,172.0,109.0,48752.0,48580.0,0.9435981885549609,10.732912351388622,5.147494476813453,4.6913478822291435,1,Staten Island,1,1
5,2022,4806.0,56382.0,2.0,382.0,61572.0,61570.0,0.9157381841806075,10.93990523761112,0.6931471805599453,5.945420608606575,1,Staten Island,1,1
5,2023,7876.0,63094.0,0.0,291.0,71261.0,71261.0,0.8853931322883485,11.052380956845,0.0,5.673323267171493,1,Staten Island,1,1
5,2024,8822.0,70799.0,0.0,2.0,79623.0,79623.0,0.8891777501475704,11.167600155288277,0.0,0.6931471805599453,1,Staten Island,1,1
5,2025,8296.0,70967.0,0.0,10.0,79273.0,79273.0,0.8952228375361094,11.169970259243295,0.0,2.302585092994046,1,Staten Island,1,1
6,2019,10393.0,94695.0,69.0,230.0,105387.0,105318.0,0.899134051159346,11.458416479469836,4.23410650459726,5.438079308923196,0,Staten Island,1,1
6,2020,8805.0,69654.0,39.0,134.0,78632.0,78593.0,0.8862621353046709,11.15129540756609,3.6635616461296463,4.897839799950911,0,Staten Island,1,1
6,2021,10037.0,90822.0,55.0,71.0,100985.0,100930.0,0.8998513821460418,11.41665682599062,4.007333185232471,4.2626798770413155,1,Staten Island,1,1
6,2022,12059.0,99147.0,2.0,158.0,111366.0,111364.0,0.8902966847455192,11.504358876304103,0.6931471805599453,5.062595033026967,1,Staten Island,1,1
6,2023,20831.0,117426.0,3.0,384.0,138644.0,138641.0,0.8469788879191581,11.673563626933024,1.0986122886681098,5.950642552587727,1,Staten Island,1,1
6,2024,21093.0,132483.0,1.0,558.0,154135.0,154134.0,0.8595313169060688,11.79420961429023,0.0,6.324358962381311,1,Staten Island,1,1
6,2025,22881.0,143908.0,4.0,1000.0,167793.0,167789.0,0.8576724338305849,11.876929485492774,1.3862943611198906,6.907755278982137,1,Staten Island,1,1
7,2019,268017.0,2274745.0,246455.0,114398.0,2903615.0,2657160.0,0.8560813048517967,14.637378516172781,12.414934700018614,11.647438875257532,0,Queens,1,1
7,2020,54428.0,1366835.0,45922.0,32570.0,1499755.0,1453833.0,0.940159564406641,14.128008406153242,10.734699584051969,10.391146898270279,0,Queens,1,1
7,2021,46309.0,1722621.0,21434.0,24753.0,1815117.0,1793683.0,0.9603820742015172,14.359357526137162,9.972733725272942,10.116701972772454,1,Queens,1,1
7,2022,43158.0,2110355.0,23991.0,20766.0,2198270.0,2174279.0,0.9705999092112834,14.5623667377459,10.085434038999999,9.9410723128634,1,Queens,1,1
7,2023,47222.0,2256596.0,18257.0,17149.0,2339224.0,2320967.0,0.972265439362128,14.629368041106696,9.81230384711351,9.749695141856147,1,Queens,1,1
7,2024,45664.0,2300839.0,12197.0,25645.0,2384345.0,2372148.0,0.9699390594516025,14.648784396991074,9.40894529884324,10.152103899823368,1,Queens,1,1
7,2025,44288.0,2334499.0,7151.0,77533.0,2463471.0,2456320.0,0.9504050775143303,14.663307865035787,8.875007486048396,11.25845893116321,1,Queens,1,1
8,2019,1202.0,9005.0,86.0,1123.0,11416.0,11330.0,0.794792586054722,9.105535257610056,4.454347296253507,7.023758954738443,0,Queens,1,1
8,2020,235.0,5425.0,26.0,258.0,5944.0,5918.0,0.9166948293342345,8.59877317840866,3.258096538021482,5.552959584921617,0,Queens,1,1
8,2021,228.0,7220.0,53.0,220.0,7721.0,7668.0,0.9415753781950965,8.884610231886873,3.970291913552122,5.393627546352362,1,Queens,1,1
8,2022,242.0,7463.0,18.0,260.0,7983.0,7965.0,0.9369742623979912,8.917712757131387,2.8903717578961645,5.560681631015528,1,Queens,1,1
8,2023,229.0,8465.0,10.0,170.0,8874.0,8864.0,0.9549864620938628,9.043695294567236,2.302585092994046,5.135798437050262,1,Queens,1,1
8,2024,201.0,9963.0,11.0,212.0,10387.0,10376.0,0.9601966075558982,9.206633510044856,2.3978952727983707,5.356586274672012,1,Queens,1,1
8,2025,150.0,10089.0,8.0,454.0,10701.0,10693.0,0.9435144487047601,9.219201000408379,2.0794415416798357,6.118097198041348,1,Queens,1,1
