date,start_hour,venue_id,event_type,title,tags
2019-07-10,20,msg,Concert,BTS Love Yourself Tour,"concerts,kpop"
2019-07-11,20,msg,Concert,BTS Love Yourself Tour,"concerts,kpop"
2019-08-01,20,msg,Concert,Dead & Company,"concerts,rock"
2019-08-02,20,msg,Concert,Dead & Company,"concerts,rock"
2019-12-30,20,msg,Concert,Phish NYE run,"concerts,rock"
2019-12-31,20,msg,Concert,Phish NYE run,"concerts,rock"
2020-02-14,20,msg,Concert,Billie Eilish Where Do We Go Tour,"concerts,pop"
2021-09-10,20,msg,Concert,The Weeknd After Hours Tour,"concerts,pop"
2021-12-19,20,msg,Concert,Harry Styles Love On Tour,"concerts,pop"
2022-08-21,20,yankee,Concert,Bad Bunny World's Hottest Tour,"concerts,latin"
2022-08-27,20,yankee,Concert,Bad Bunny World's Hottest Tour,"concerts,latin"
2022-09-09,20,barclays,Concert,Bruce Springsteen,"concerts,rock"
2022-09-11,20,barclays,Concert,Bruce Springsteen,"concerts,rock"
2022-12-16,20,msg,Concert,Phish NYE run,"concerts,rock"
2022-12-17,20,msg,Concert,Phish NYE run,"concerts,rock"
2022-12-30,20,msg,Concert,Phish NYE run,"concerts,rock"
2022-12-31,20,msg,Concert,Phish NYE run,"concerts,rock"
2023-05-19,20,msg,Concert,Harry Styles Love On Tour,"concerts,pop"
2023-05-20,20,msg,Concert,Harry Styles Love On Tour,"concerts,pop"
2023-05-22,20,msg,Concert,Harry Styles Love On Tour,"concerts,pop"
2023-07-28,20,msg,Concert,Pink Summer Carnival Tour,"concerts,pop"
2023-08-01,20,msg,Concert,Pink Summer Carnival Tour,"concerts,pop"
2023-08-04,20,msg,Concert,Beyonce Renaissance Tour,"concerts,pop"
2023-08-05,20,msg,Concert,Beyonce Renaissance Tour,"concerts,pop"
2023-09-29,20,msg,Concert,Drake It's All a Blur Tour,"concerts,hiphop"
2023-10-01,20,msg,Concert,Drake It's All a Blur Tour,"concerts,hiphop"
2023-12-08,20,msg,Concert,Phish NYE run,"concerts,rock"
2023-12-09,20,msg,Concert,Phish NYE run,"concerts,rock"
2023-12-30,20,msg,Concert,Phish NYE run,"concerts,rock"
2023-12-31,20,msg,Concert,Phish NYE run,"concerts,rock"
2024-02-02,20,msg,Concert,Billy Joel with Stevie Nicks (MSG adjacent billing),"concerts,rock"
2024-03-15,20,barclays,Concert,Travis Scott Circus Maximus Tour,"concerts,hiphop"
2024-06-07,20,msg,Concert,Madonna Celebration Tour,"concerts,pop"
2024-06-08,20,msg,Concert,Madonna Celebration Tour,"concerts,pop"
2024-08-02,20,citi,Concert,Dead & Company Citi Field,"concerts,rock"
2024-08-03,20,citi,Concert,Dead & Company Citi Field,"concerts,rock"
2024-10-05,20,barclays,Concert,Bad Bunny Most Wanted Tour,"concerts,latin"
2024-10-06,20,barclays,Concert,Bad Bunny Most Wanted Tour,"concerts,latin"
2024-11-22,20,msg,Concert,Phish,"concerts,rock"
2024-12-28,20,msg,Concert,Phish NYE run,"concerts,rock"
2024-12-29,20,msg,Concert,Phish NYE run,"concerts,rock"
2024-12-30,20,msg,Concert,Phish NYE run,"concerts,rock"
2024-12-31,20,msg,Concert,Phish NYE run,"concerts,rock"
2025-03-28,20,msg,Concert,Lady Gaga Mayhem Ball,"concerts,pop"
2025-03-29,20,msg,Concert,Lady Gaga Mayhem Ball,"concerts,pop"
