date,start_hour,venue_id,event_type,title,tags
2019-01-24,20,msg,Concert,Billy Joel MSG residency,"concerts,rock,residency"
2019-03-17,11,st_patricks,StreetClosure,NYC St. Patrick's Day Parade 2019,"street_closure,parade,st_patricks"
2019-03-21,20,msg,Concert,Billy Joel MSG residency,"concerts,rock,residency"
2019-03-28,13,yankee,MLB,Baltimore Orioles @ New York Yankees,"sports,mlb"
2019-03-30,13,yankee,MLB,Baltimore Orioles @ New York Yankees,"sports,mlb"
2019-03-31,13,yankee,MLB,Baltimore Orioles @ New York Yankees,"sports,mlb"
2019-04-01,18,yankee,MLB,Detroit Tigers @ New York Yankees,"sports,mlb"
2019-04-02,18,yankee,MLB,Detroit Tigers @ New York Yankees,"sports,mlb"
2019-04-03,16,yankee,MLB,Detroit Tigers @ New York Yankees,"sports,mlb"
2019-04-04,13,citi,MLB,Washington Nationals @ New York Mets,"sports,mlb"
2019-04-06,13,citi,MLB,Washington Nationals @ New York Mets,"sports,mlb"
2019-04-07,13,citi,MLB,Washington Nationals @ New York Mets,"sports,mlb"
2019-04-09,19,citi,MLB,Minnesota Twins @ New York Mets,"sports,mlb"
2019-04-10,19,citi,MLB,Minnesota Twins @ New York Mets,"sports,mlb"
2019-04-12,19,yankee,MLB,Chicago White Sox @ New York Yankees,"sports,mlb"
2019-04-13,13,yankee,MLB,Chicago White Sox @ New York Yankees,"sports,mlb"
2019-04-14,13,yankee,MLB,Chicago White Sox @ New York Yankees,"sports,mlb"
2019-04-16,18,yankee,MLB,Boston Red Sox @ New York Yankees,"sports,mlb"
2019-04-17,18,yankee,MLB,Boston Red Sox @ New York Yankees,"sports,mlb"
2019-04-18,18,yankee,MLB,Kansas City Royals @ New York Yankees,"sports,mlb"
2019-04-19,19,yankee,MLB,Kansas City Royals @ New York Yankees,"sports,mlb"
2019-04-20,13,yankee,MLB,Kansas City Royals @ New York Yankees,"sports,mlb"
2019-04-21,13,yankee,MLB,Kansas City Royals @ New York Yankees,"sports,mlb"
2019-04-22,19,citi,MLB,Philadelphia Phillies @ New York Mets,"sports,mlb"
2019-04-23,19,citi,MLB,Philadelphia Phillies @ New York Mets,"sports,mlb"
2019-04-24,19,citi,MLB,Philadelphia Phillies @ New York Mets,"sports,mlb"
2019-04-26,19,citi,MLB,Milwaukee Brewers @ New York Mets,"sports,mlb"
2019-04-27,19,citi,MLB,Milwaukee Brewers @ New York Mets,"sports,mlb"
2019-04-28,13,citi,MLB,Milwaukee Brewers @ New York Mets,"sports,mlb"
2019-04-29,19,citi,MLB,Cincinnati Reds @ New York Mets,"sports,mlb"
2019-04-30,19,citi,MLB,Cincinnati Reds @ New York Mets,"sports,mlb"
2019-05-01,19,citi,MLB,Cincinnati Reds @ New York Mets,"sports,mlb"
2019-05-02,12,citi,MLB,Cincinnati Reds @ New York Mets,"sports,mlb"
2019-05-03,19,yankee,MLB,Minnesota Twins @ New York Yankees,"sports,mlb"
2019-05-04,13,yankee,MLB,Minnesota Twins @ New York Yankees,"sports,mlb"
2019-05-05,16,yankee,MLB,Minnesota Twins @ New York Yankees,"sports,mlb"
2019-05-06,18,yankee,MLB,Seattle Mariners @ New York Yankees,"sports,mlb"
2019-05-07,18,yankee,MLB,Seattle Mariners @ New York Yankees,"sports,mlb"
