venue_id,name,league,primary_zone,buffer_zones,lat,lon,price_tier,notes
msg,Madison Square Garden,NBA/NHL/Concerts,186,"230,161,162,163,164",40.7505,-73.9934,5,Knicks Rangers premium concerts
barclays,Barclays Center,NBA,189,"172,41,40,35",40.6826,-73.9754,4,Nets
yankee,Yankee Stadium,MLB/MLS,247,"248,168,169,246",40.8296,-73.9262,3,Yankees + NYCFC
citi,Citi Field,MLB/MLS,253,"92,93,254,255",40.7571,-73.8458,3,Mets + NYCFC
us_open,USTA Billie Jean King (US Open),Tennis,57,"93,92,253",40.7498,-73.8471,4,Flushing
metlife,MetLife Stadium,NFL,264,"1,132",40.8128,-74.0742,4,Giants Jets — zone 264 Outside NYC
marathon,NYC Marathon finish,Marathon,186,"230,142,143,239",40.758,-73.9855,1,Central Park south finish
times_sq,Times Square / Broadway,Concerts,230,"186,142,143,161",40.758,-73.9855,2,Theatre district
macys_parade,Macy's Thanksgiving Parade,StreetClosure,142,"143,238,239,43,161,162,230,164,186,100,234,263,262",40.779,-73.977,2,CPW + 6th Ave parade route
st_patricks,St. Patrick's Day Parade,StreetClosure,161,"162,230,140,141,163,164,100,234",40.761,-73.977,1,5th Ave 44th–79th
red_bulls,Red Bull Arena,MLS,1,"132",40.7368,-74.1503,2,Harrison NJ — EWR zone
