date,venue_id,event_type,title,start_hour,post_pu_trips,post_pu_lift_pct,avg_wait_sec,med_wait_sec,n_wait,base_avg_wait_sec,base_med_wait_sec,base_n,avg_wait_min,base_avg_wait_min,med_wait_min,base_med_wait_min,avg_delta_min,med_delta_min,avg_lift_pct,med_lift_pct
2019-12-05,msg,NBA,DEN @ NYK,19,8733,79.3,394.5664677804296,356.0,8380,380.2594255724338,327.0,1208786,6.5761077963404935,6.337657092873897,5.933333333333334,5.45,0.23845070346659636,0.4833333333333334,3.762442492111351,8.868501529051986
2022-12-07,msg,NBA,ATL @ NYK,19,8482,90.9,494.09545566806617,433.0,8098,361.48882358519074,308.0,1128403,8.234924261134436,6.024813726419846,7.216666666666667,5.133333333333334,2.21011053471459,2.083333333333333,36.68346666093385,40.58441558441559
2020-02-06,msg,NBA,ORL @ NYK,19,8176,68.0,375.6496971259183,315.0,7759,380.2594255724338,327.0,1208786,6.2608282854319715,6.337657092873897,5.25,5.45,-0.07682880744192566,-0.20000000000000018,-1.2122588255573552,-3.669724770642202
2019-11-14,msg,NBA,DAL @ NYK,19,8005,64.5,359.014075243357,315.0,7602,380.2594255724338,327.0,1208786,5.983567920722617,6.337657092873897,5.25,5.45,-0.35408917215128,-0.20000000000000018,-5.5870673809319875,-3.669724770642202
2024-12-11,msg,NBA,ATL @ NYK,19,7795,75.7,449.233783968319,381.0,7323,361.48882358519074,308.0,1128403,7.487229732805317,6.024813726419846,6.35,5.133333333333334,1.462416006385471,1.216666666666666,24.273215285852334,23.70129870129871
2024-12-05,msg,NBA,CHA @ NYK,19,7606,56.4,515.8108184251303,441.0,7099,380.2594255724338,327.0,1208786,8.596846973752172,6.337657092873897,7.35,5.45,2.2591898808782744,1.8999999999999995,35.64708294834256,34.86238532110091
2020-01-29,msg,NBA,MEM @ NYK,19,7280,64.2,342.6217902219643,304.0,6893,361.48882358519074,308.0,1128403,5.7103631703660716,6.024813726419846,5.066666666666666,5.133333333333334,-0.3144505560537745,-0.06666666666666732,-5.21925772866394,-1.2987012987012991
2020-01-16,msg,NBA,PHX @ NYK,19,7245,49.0,315.885739333723,266.0,6844,380.2594255724338,327.0,1208786,5.264762322228717,6.337657092873897,4.433333333333334,5.45,-1.0728947706451804,-1.0166666666666666,-16.928886415321376,-18.654434250764528
2020-02-12,msg,NBA,WAS @ NYK,19,7162,61.6,393.16528436018956,355.0,6752,361.48882358519074,308.0,1128403,6.552754739336493,6.024813726419846,5.916666666666667,5.133333333333334,0.5279410129166466,0.7833333333333332,8.762777355282125,15.259740259740262
2020-03-04,msg,NBA,UTA @ NYK,19,6938,56.6,321.59287762185,288.0,6627,361.48882358519074,308.0,1128403,5.3598812936975,6.024813726419846,4.8,5.133333333333334,-0.6649324327223463,-0.3333333333333339,-11.036564164739282,-6.493506493506496
2022-11-30,msg,NBA,MIL @ NYK,19,6929,56.4,461.3468181818182,396.0,6600,361.48882358519074,308.0,1128403,7.689113636363637,6.024813726419846,6.6,5.133333333333334,1.6642999099437912,1.466666666666666,27.62408906760967,28.57142857142858
2024-12-03,msg,NBA,ORL @ NYK,19,6899,65.7,373.6171998732974,331.0,6314,346.1404057748763,295.0,1111158,6.226953331221623,5.7690067629146045,5.516666666666667,4.916666666666667,0.45794656830701896,0.5999999999999996,7.938048733984426,12.203389830508481
2023-11-30,msg,NBA,DET @ NYK,19,6889,41.8,499.93496801705754,444.0,6566,380.2594255724338,327.0,1208786,8.332249466950959,6.337657092873897,7.4,5.45,1.9945923740770617,1.9500000000000002,31.47207784908077,35.779816513761475
2023-11-08,msg,NBA,SAS @ NYK,19,6879,55.3,407.1459550907413,363.0,6502,361.48882358519074,308.0,1128403,6.785765918179022,6.024813726419846,6.05,5.133333333333334,0.7609521917591762,0.9166666666666661,12.630302384657476,17.85714285714286
2020-01-22,msg,NBA,LAL @ NYK,19,6877,55.2,321.41160990712075,273.0,6460,361.48882358519074,308.0,1128403,5.356860165118679,6.024813726419846,4.55,5.133333333333334,-0.6679535613011671,-0.5833333333333339,-11.086708927980215,-11.363636363636365
2019-12-17,msg,NBA,ATL @ NYK,19,6854,64.6,424.96208604147324,391.0,6462,346.1404057748763,295.0,1111158,7.082701434024554,5.7690067629146045,6.516666666666667,4.916666666666667,1.3136946711099498,1.5999999999999996,22.77159180250723,32.54237288135593
2019-11-16,msg,NBA,CHA @ NYK,19,6817,69.7,376.1534485304977,307.0,6771,364.1173103829525,291.0,1110686,6.269224142174962,6.068621839715875,5.116666666666666,4.85,0.20060230245908706,0.2666666666666666,3.3055660371890783,5.498281786941583
2023-02-02,msg,NBA,MIA @ NYK,19,6740,38.7,349.7711356466877,312.0,6340,380.2594255724338,327.0,1208786,5.829518927444795,6.337657092873897,5.2,5.45,-0.5081381654291022,-0.25,-8.017760474930968,-4.587155963302747
2020-02-21,msg,NBA,IND @ NYK,19,6731,60.5,341.1145989786723,292.0,6658,344.18880075374426,278.0,1165382,5.685243316311205,5.736480012562405,4.866666666666666,4.633333333333334,-0.05123669625120009,0.2333333333333325,-0.8931730981193264,5.035971223021574
2019-11-18,msg,NBA,CLE @ NYK,19,6662,97.2,319.28051181102364,269.0,6096,282.901959632165,235.0,884962,5.321341863517061,4.7150326605360835,4.483333333333333,3.9166666666666665,0.6063092029809773,0.5666666666666669,12.859066874672331,14.468085106382977
2023-03-01,msg,NBA,BKN @ NYK,19,6648,50.1,408.5833739243384,363.0,6159,361.48882358519074,308.0,1128403,6.809722898738973,6.024813726419846,6.05,5.133333333333334,0.7849091723191268,0.9166666666666661,13.027940911719238,17.85714285714286
2022-11-02,msg,NBA,ATL @ NYK,19,6585,48.7,396.2267035290291,357.0,6149,361.48882358519074,308.0,1128403,6.603778392150486,6.024813726419846,5.95,5.133333333333334,0.5789646657306395,0.8166666666666664,9.6096691453178,15.909090909090917
2024-01-18,msg,NBA,WAS @ NYK,19,6560,35.1,325.797925781883,289.0,6171,380.2594255724338,327.0,1208786,5.42996542969805,6.337657092873897,4.816666666666666,5.45,-0.9076916631758474,-0.6333333333333337,-14.322195882078592,-11.620795107033643
