date,AAR,BT,Bus,CBD Entries,CRZ Entries,LIRR,MNR,SIR,Subway
2020-03-01,19922,690074,984908,,,86790,55825,1636,2212965
2020-03-02,30338,766591,2209066,,,321569,180701,17140,5329915
2020-03-03,32767,773392,2228608,,,319727,190648,17453,5481103
2020-03-04,34297,794316,2177165,,,311662,192689,17136,5498809
2020-03-05,33209,816054,2244515,,,307597,194386,17203,5496453
2020-03-06,30970,830505,2066743,,,289171,205056,15285,5189447
2020-03-07,18117,722378,1249085,,,106058,75838,2445,2814637
2020-03-08,19477,669603,957163,,,81565,60800,1672,2120656
2020-03-09,29609,754118,2124770,,,277001,183953,16122,4973513
2020-03-10,31315,747295,2111989,,,259324,179050,15805,4867818
2020-03-11,32198,757001,2112967,,,245798,175074,15340,4697122
2020-03-12,30814,772233,1938424,,,197178,169547,14169,4149505
2020-03-13,26640,751270,1715737,,,158582,167176,11769,3484996
2020-03-14,13394,544028,993287,,,44885,39701,2135,1670665
2020-03-15,12480,461936,711555,,,33407,32641,1368,1157711
2020-03-16,21145,615758,1237309,,,119333,153262,5741,2178555
2020-03-17,18173,561066,1094949,,,83578,147391,4573,1788786
2020-03-18,15942,545521,1059502,,,74883,146118,4133,1625280
2020-03-19,14116,487894,933602,,,59538,144466,3452,1422112
2020-03-20,12744,483475,868602,,,50021,145160,3124,1309125
2020-03-21,6467,327396,411491,,,12438,23700,1044,619618
2020-03-22,4824,237248,73517,,,8891,20830,641,408723
2020-03-23,9902,307988,59321,,,30564,139285,1639,709499
2020-03-24,9133,336568,60334,,,29785,139194,1727,741587
2020-03-25,9512,318687,51769,,,26143,138239,1572,690032
2020-03-26,8795,331502,49970,,,23809,138668,1563,680360
2020-03-27,8409,337501,45514,,,20355,138903,1495,656817
2020-03-28,4491,203924,19745,,,5279,19088,600,332393
2020-03-29,3374,167032,14307,,,4358,18152,419,263700
2020-03-30,8084,292157,33659,,,19741,137762,1140,545215
2020-03-31,7672,285703,32211,,,16194,137464,1043,508106
2020-04-01,8151,289625,29373,,,10548,9300,720,513481
2020-04-02,7077,287703,26788,,,10057,9492,882,485586
2020-04-03,7794,288361,24418,,,9657,9770,843,483357
2020-04-04,4375,207438,13168,,,3727,4451,425,282278
2020-04-05,2763,178015,9748,,,2969,3601,300,227303
2020-04-06,7093,284125,22418,,,10127,9832,819,445454
2020-04-07,7041,284087,21623,,,9312,9589,732,434986
2020-04-08,6950,275495,20361,,,9039,9292,721,427485
2020-04-09,6243,257761,18734,,,8413,8931,690,404635
2020-04-10,5378,267101,17135,,,8247,9573,672,400275
2020-04-11,4235,217170,9718,,,2749,4179,406,257061
2020-04-12,2525,185082,7041,,,2245,3281,294,198399
2020-04-13,6205,241674,14408,,,8192,8824,649,363312
2020-04-14,6585,302390,17937,,,8816,9592,791,430155
2020-04-15,6928,290010,16895,,,8596,9492,792,419059
2020-04-16,6563,295000,16632,,,8462,9528,790,420223
2020-04-17,7048,323119,16350,,,8271,9989,738,432368
2020-04-18,4202,215953,8115,,,2449,3965,339,254453
2020-04-19,2742,236862,6929,,,2159,3884,340,224411
2020-04-20,7050,316291,16522,,,8912,10063,770,437852
2020-04-21,6613,301581,15231,,,8264,9374,753,422107
2020-04-22,7496,340320,16487,,,8674,9694,793,458781
2020-04-23,6969,328530,15786,,,8425,9527,780,453520
2020-04-24,7040,330440,14237,,,7821,9722,688,443956
2020-04-25,4719,301092,8832,,,2869,4987,449,295387
2020-04-26,2506,197375,5498,,,1903,3495,309,218787
2020-04-27,6922,326068,15283,,,8828,10243,812,462888
2020-04-28,7542,372121,16380,,,9167,10531,826,489247
2020-04-29,7844,348833,15406,,,9100,10165,790,477799
2020-04-30,7253,344704,14062,,,9335,9971,764,465869
2020-05-01,8332,379886,14893,,,6200,9206,763,494549
2020-05-02,5493,345806,8912,,,3959,5908,489,325865
2020-05-03,3263,303778,6404,,,3314,4839,334,258865
2020-05-04,8287,381469,16315,,,11158,10764,897,511866
2020-05-05,8445,393984,16377,,,13265,10604,894,522085
2020-05-06,8832,378599,15677,,,14489,10107,822,508824
2020-05-07,8509,417360,16130,,,16139,11247,930,535073
2020-05-08,8656,414244,14571,,,15714,11242,811,526054
2020-05-09,5055,315809,7594,,,7651,6017,489,316883
2020-05-10,3962,355358,6367,,,7990,5878,406,271947
2020-05-11,7636,390499,15176,,,18349,11434,829,520873
2020-05-12,8271,416060,15989,,,19018,11488,914,553372
2020-05-13,9437,435051,16170,,,19356,11931,956,565377
2020-05-14,8855,444415,15905,,,19310,12131,923,567392
2020-05-15,9473,484177,15481,,,20092,12936,976,587808
2020-05-16,5947,411404,8742,,,11075,8100,485,360844
2020-05-17,3577,336478,6504,,,8793,6168,337,287418
2020-05-18,8969,431981,17206,,,22113,13141,1036,595469
2020-05-19,9290,455808,17296,,,21599,12777,1067,610884
2020-05-20,10224,465004,17674,,,22224,12753,1044,623749
2020-05-21,9731,502922,17565,,,22585,13294,1069,629298
2020-05-22,9782,542006,16453,,,22830,14711,1046,633883
2020-05-23,5550,334555,7186,,,10983,7613,420,335830
2020-05-24,4117,394315,6642,,,11871,8977,361,320015
2020-05-25,5428,383110,7996,,,19321,12982,441,393918
2020-05-26,9875,506197,17819,,,26691,14937,1173,656766
2020-05-27,11088,516570,17911,,,26483,14432,1240,674465
2020-05-28,10030,503174,17535,,,25175,14161,1191,658057
2020-05-29,10185,517166,16378,,,25070,15697,1094,657259
2020-05-30,6143,461626,9112,,,15557,11003,18,426737
2020-05-31,4216,426968,6724,,,13554,9390,2,344426
2020-06-01,10760,511968,17833,,,34339,16184,1358,687162
2020-06-02,11206,497721,16576,,,33769,16294,1516,693760
2020-06-03,11962,500559,17830,,,32523,15649,1323,681714
2020-06-04,12000,562094,18538,,,29771,17149,1346,726672
2020-06-05,11698,555332,16863,,,33482,18065,1249,703576
2020-06-06,6591,473661,8912,,,18090,12179,9,464198
2020-06-07,4650,466227,7579,,,16797,11231,95,377990
2020-06-08,11957,556739,25663,,,42630,20140,1596,804542
2020-06-09,12869,589581,26247,,,42274,19543,1662,842306
2020-06-10,13616,586815,26735,,,43083,20517,1767,857015
2020-06-11,12514,566200,24284,,,40961,19525,1576,818297
2020-06-12,13224,664835,24459,,,45072,24165,1656,896658
2020-06-13,7794,543506,12115,,,25355,16675,17,545316
2020-06-14,5195,487268,8731,,,20859,13794,7,430439
2020-06-15,12953,584897,27057,,,47545,22841,1813,897112
2020-06-16,12939,601457,28049,,,46876,22555,1874,932671
2020-06-17,14595,614357,27924,,,47166,24167,1857,948461
2020-06-18,13808,631766,27516,,,47851,24081,1936,942382
2020-06-19,13868,694039,25578,,,50201,27772,1751,986929
2020-06-20,8185,577260,11899,,,28959,18559,22,576075
2020-06-21,6328,566717,9072,,,27094,16719,,449497
2020-06-22,13314,638159,30863,,,53878,25367,2027,1000046
2020-06-23,15069,647403,32305,,,52898,24909,2219,1050786
2020-06-24,15155,651692,32504,,,52354,25277,2194,1068333
2020-06-25,14854,680113,32393,,,53444,25644,2210,1078796
2020-06-26,15048,723614,30480,,,55647,29700,2115,1102382
2020-06-27,8541,541589,12942,,,26773,17932,686,615398
2020-06-28,5748,540549,10167,,,25680,15918,590,535898
2020-06-29,14705,669113,33264,,,63309,28163,2317,1100769
2020-06-30,15291,658682,33996,,,57955,27077,2386,1113124
2020-07-01,16451,677917,32921,,,56505,27770,2305,1120537
2020-07-02,15981,769172,32730,,,64261,31948,2365,1170483
2020-07-03,10915,610636,16862,,,56181,32049,1138,851877
2020-07-04,8391,488652,10769,,,38388,22085,690,591605
2020-07-05,6280,575881,9832,,,34569,19136,528,533692
2020-07-06,14886,652916,31548,,,63862,30556,2222,1084956
2020-07-07,16003,650942,33595,,,61756,30507,2403,1157185
2020-07-08,16980,658258,34242,,,63048,30174,2454,1172279
2020-07-09,17017,714635,34762,,,65483,31913,2571,1211280
2020-07-10,15738,618046,25544,,,55929,29683,2117,1030632
2020-07-11,8453,535729,12872,,,30059,18683,812,692977
2020-07-12,7395,617036,10966,,,34905,19859,731,628187
2020-07-13,15928,658044,33302,,,66384,31876,2504,1175700
2020-07-14,17081,693968,35391,,,66321,31921,2669,1241080
2020-07-15,18149,700896,34701,,,66549,32603,2751,1248413
2020-07-16,17230,713530,34199,,,66732,33258,2756,1249128
2020-07-17,16401,711817,29696,,,64806,35414,2427,1207265
2020-07-18,9785,649967,14335,,,41235,24071,786,778936
2020-07-19,7052,609862,9845,,,36429,18675,504,584994
2020-07-20,15957,672293,30196,,,67721,32279,2428,1156735
2020-07-21,16831,691059,32482,,,67594,33213,2725,1241819
2020-07-22,17582,683364,33863,,,65348,32485,2716,1233668
2020-07-23,17056,688709,33999,,,65637,32975,2632,1233795
2020-07-24,17311,719421,29987,,,65889,36639,2511,1218138
2020-07-25,10350,671119,14777,,,43340,25173,799,816604
2020-07-26,7429,609707,9711,,,36164,20170,542,606910
2020-07-27,16607,693677,32072,,,70114,31568,2626,1203503
2020-07-28,16892,681857,33753,,,66687,31677,2635,1241770
2020-07-29,18216,714559,35257,,,69995,33733,2778,1296102
2020-07-30,17333,717003,33982,,,68958,34122,2746,1270172
2020-07-31,17654,747216,29917,,,67648,38040,2429,1258539
2020-08-01,10685,695946,16087,,,44405,26261,904,842468
2020-08-02,7431,561396,9874,,,30502,17885,615,590060
2020-08-03,17594,715550,36945,,,70779,32884,2955,1272996
2020-08-04,14924,507501,29426,,,36835,22286,1499,1027187
2020-08-05,18299,740063,38283,,,58005,26598,2824,1348202
2020-08-06,19117,739952,37059,,,66671,28283,3125,1334694
2020-08-07,17502,735101,32170,,,65969,32882,2741,1283894
2020-08-08,10613,630411,15143,,,41729,23513,806,833287
2020-08-09,8287,649493,11534,,,37616,20503,649,662993
2020-08-10,18178,720799,34883,,,73548,33500,2995,1275268
2020-08-11,18546,716441,36426,,,72436,33509,3164,1319814
2020-08-12,19346,696198,36053,,,68345,33736,3124,1298963
2020-08-13,18608,713144,34723,,,69223,33822,2971,1291277
2020-08-14,18113,777169,32713,,,72916,39342,3012,1355786
2020-08-15,11487,699313,15522,,,46806,27677,974,860789
2020-08-16,7902,537419,8603,,,29858,18164,529,554451
2020-08-17,17377,701456,34768,,,74453,35362,3058,1304485
2020-08-18,19274,729923,36646,,,74213,34361,2951,1369617
2020-08-19,19915,710695,34181,,,70104,34377,2783,1292148
2020-08-20,19344,775926,35059,,,75643,37078,2960,1410489
2020-08-21,19035,792319,31342,,,76062,41110,2769,1387463
2020-08-22,11456,708443,13705,,,49095,27784,871,882522
2020-08-23,8297,641684,9698,,,37891,22496,633,671560
2020-08-24,17643,710872,34021,,,75145,35904,2756,1307345
2020-08-25,18682,715798,34993,,,73331,35689,2845,1346490
2020-08-26,20659,748927,35975,,,76583,36621,3012,1407639
2020-08-27,19271,739049,33969,,,73060,35551,2856,1358272
2020-08-28,18845,787675,31956,,,76114,41222,2716,1388583
2020-08-29,9814,555413,14035,,,37641,22234,798,773667
2020-08-30,9752,706101,16027,,,45147,26520,825,748061
2020-08-31,18185,711594,787291,,,78122,37727,3184,1397264
2020-09-01,18929,704251,947758,,,76483,36035,3217,1469274
